employee_id,full_name,age,age_band,education_level,hire_date,exit_date,is_active,tenure_days,department,job_role,job_level,employment_type,base_salary_annual,store_id,manager_id,manager_name,manager_status
EMP000001,Marie Kim DDS,23,<25,Master's,2021-04-26,2022-04-13,False,352,Store Operations,Cashier,Entry,Full-time,25745.4,STR058,EMP001131,Michelle Walls,Executive
EMP000002,Danny Morgan,26,25-34,Master's,2021-09-03,,True,1654,Store Operations,Sales Associate,Associate,Full-time,39408.57,STR137,EMP002456,Jennifer Moore,Executive
EMP000003,Crystal Robinson,38,35-44,Bachelor's,2016-08-25,,True,3489,Store Operations,Cashier,Entry,Full-time,29319.94,STR008,EMP000529,Melissa Bishop,Senior Manager
EMP000004,Mark Perez,33,25-34,Bachelor's,2021-12-10,,True,1556,Store Operations,Senior Sales Associate,Senior_Associate,Full-time,43979.88,STR063,EMP001305,Tina Walter,Senior Manager
EMP000005,Shannon Jones,24,<25,High School,2018-02-24,,True,2941,Store Operations,Cashier,Entry,Full-time,23560.19,STR109,EMP001823,Nicholas Fitzgerald,Senior Manager
EMP000006,Michael Lewis,36,35-44,Bachelor's,2019-03-03,,True,2569,Store Operations,Sales Associate,Associate,Part-time,17923.16,STR120,EMP002436,Miranda Murray,Senior Manager
EMP000007,Timothy Duncan,45,45-54,Bachelor's,2021-11-15,,True,1581,Store Operations,Sales Associate,Associate,Full-time,28697.0,STR048,EMP002585,Kara Rogers,Senior Manager
EMP000008,Richard Aguirre,27,25-34,High School,2019-01-26,2021-04-04,False,799,Store Operations,Cashier,Entry,Full-time,30661.76,STR144,EMP002684,David James,Senior Manager
EMP000009,Brent Jordan,36,35-44,Some College,2021-01-26,2024-10-02,False,1345,Store Operations,Sales Associate,Associate,Full-time,35213.38,STR034,EMP002712,Scott Meza,Senior Manager
EMP000010,John Daniel,37,35-44,Master's,2019-06-25,,True,2455,Store Operations,Sales Associate,Associate,Full-time,36496.87,STR140,EMP000053,Rebecca Valencia,Manager
EMP000011,Victoria Garcia,37,35-44,Bachelor's,2018-03-30,,True,2907,Store Operations,Cashier,Entry,Full-time,22205.84,STR046,EMP000121,Jamie Walton,Manager
EMP000012,Gerald Hensley,42,35-44,Bachelor's,2019-09-01,,True,2387,Store Operations,Cashier,Entry,Full-time,31699.1,STR105,EMP000240,Briana Murray,Manager
EMP000013,Connor West,36,35-44,Some College,2018-06-10,,True,2835,Store Operations,Cashier,Entry,Full-time,30324.43,STR099,EMP000520,Michael Johnson,Manager
EMP000014,Donald Wright,39,35-44,Bachelor's,2017-08-01,,True,3148,Store Operations,Cashier,Entry,Part-time,14474.03,STR099,EMP000767,Tamara Riddle,Manager
EMP000015,Jessica Callahan,37,35-44,Bachelor's,2020-12-03,,True,1928,Store Operations,Sales Associate,Associate,Part-time,18109.14,STR028,EMP001026,Brandon Kelly,Manager
