employee_id,avg_performance,avg_satisfaction,avg_productivity,total_promotions,months_observed,promotion_score,full_name,department,job_role,job_level,base_salary_annual
EMP000939,4.604722222222223,8.358333333333333,1.802,1,36,88.94,Anna Wheeler,Store Operations,Shift Supervisor,Supervisor,26471.71
EMP002339,4.552499999999999,8.572222222222223,1.7761944444444444,0,36,88.78,Jordan Pace,Store Operations,Cashier,Entry,13926.15
EMP006753,4.558055555555556,8.416666666666666,1.7791666666666666,0,36,88.4,Douglas Hampton,Finance,Finance Assistant,Entry,25043.08
EMP002606,4.513333333333333,8.419444444444444,1.7565277777777777,0,36,87.71,Matthew Allen,Store Operations,Sales Associate,Associate,34133.55
EMP004276,4.512222222222222,8.363888888888889,1.7560833333333334,0,36,87.53,Glenn Chen,Logistics/Warehousing,Warehouse Worker,Associate,34980.84
EMP006310,4.484722222222222,8.48611111111111,1.7421944444444444,0,36,87.47,Debra Blackburn,Meat/Fish & Bakery,Butcher,Associate,37705.59
EMP004547,4.461666666666667,8.597222222222221,1.73025,0,36,87.44,Richard Best,Fresh Produce,Produce Clerk,Associate,11266.54
EMP007094,4.483611111111111,8.477777777777778,1.7418888888888888,0,36,87.43,Thomas Hunt,IT,IT Assistant,Entry,23271.03
EMP007485,4.460555555555556,8.588888888888889,1.7305555555555554,0,36,87.41,Jeremy Davis,Customer Service,Customer Service Assistant,Entry,10414.59
EMP001069,4.513333333333333,8.3,1.7564444444444445,0,36,87.35,Susan Conley,Store Operations,Sales Associate,Associate,32255.47
EMP005747,4.526111111111111,8.191666666666666,1.7630833333333333,0,36,87.23,Peggy Mendoza,Meat/Fish & Bakery,Butcher,Associate,36091.52
EMP005848,4.523055555555556,8.163888888888888,1.7613611111111112,0,36,87.1,Brian Gross,Meat/Fish & Bakery,Food Prep Worker,Entry,29360.35
EMP002152,4.465833333333333,8.455555555555556,1.732888888888889,0,36,87.09,Brad Gordon,Store Operations,Sales Associate,Associate,30085.14
EMP001746,4.5408333333333335,8.058333333333334,1.7705277777777777,0,36,87.06,Randy Robinson,Store Operations,Cashier,Entry,10725.38
EMP000672,4.460555555555556,8.422222222222222,1.7303333333333333,0,36,86.91,Raymond Johnson,Store Operations,Sales Associate,Associate,15504.47
EMP000532,4.501944444444444,8.2,1.7507777777777778,0,36,86.88,Daniel Bush,Store Operations,Cashier,Entry,19198.31
EMP002460,4.475277777777778,8.288888888888888,1.7374722222222223,1,36,86.73,Karen Munoz,Store Operations,Cashier,Entry,26017.79
EMP004427,4.502222222222223,8.052777777777777,1.7513055555555554,0,36,86.45,Timothy Chavez,Logistics/Warehousing,Warehouse Worker,Associate,30843.09
EMP006997,4.483888888888889,8.11111111111111,1.7423055555555556,0,36,86.34,Tammy Morris,IT,IT Assistant,Entry,28670.37
EMP007371,4.4561111111111105,8.258333333333333,1.7278888888888888,2,36,86.34,Latoya Nelson,Customer Service,Customer Service Associate,Associate,21654.15
EMP007159,4.461666666666667,8.227777777777778,1.7309722222222221,0,36,86.34,Chris Wheeler,IT,IT Associate,Associate,31773.21
EMP006228,4.4525,8.255555555555555,1.7263611111111112,0,36,86.28,Kelly Brown,Meat/Fish & Bakery,Butcher,Associate,39831.21
EMP000403,4.453611111111112,8.230555555555556,1.726611111111111,0,36,86.22,Alexander Brown,Store Operations,Cashier,Entry,27052.52
EMP001845,4.440555555555556,8.280555555555557,1.7202777777777778,1,36,86.17,Justin Jones,Store Operations,Cashier,Entry,31430.76
EMP003809,4.488333333333333,8.027777777777779,1.7440833333333332,0,36,86.15,Richard Rivera,Logistics/Warehousing,Stock Clerk,Entry,13502.1
EMP002172,4.4238888888888885,8.327777777777778,1.7121666666666666,0,36,86.06,Kaitlyn Heath,Store Operations,Cashier,Entry,22696.41
EMP004352,4.4463888888888885,8.197222222222223,1.72325,0,36,86.01,Nicole Anderson,Logistics/Warehousing,Warehouse Worker,Associate,14073.1
EMP003563,4.477222222222222,8.0,1.7382222222222223,0,36,85.89,Connie Franklin,Logistics/Warehousing,Stock Clerk,Entry,22569.79
EMP005190,4.431111111111111,8.23611111111111,1.7153333333333334,0,36,85.89,Allen Martinez,Fresh Produce,Produce Assistant,Entry,14853.4
EMP006935,4.4725,8.005555555555555,1.7359722222222222,0,36,85.84,Elizabeth Anderson,Finance,Finance Supervisor,Supervisor,35434.34
EMP002390,4.420833333333333,8.266666666666667,1.7108055555555555,0,36,85.83,Amanda Johnson,Store Operations,Cashier,Entry,28884.05
EMP006311,4.4463888888888885,8.133333333333333,1.7228611111111112,0,36,85.81,Christopher Walker,Meat/Fish & Bakery,Senior Butcher,Senior_Associate,44469.18
EMP000844,4.470833333333333,8.002777777777778,1.735472222222222,0,36,85.81,Cassie Brock,Store Operations,Senior Sales Associate,Senior_Associate,49416.05
EMP006386,4.467222222222222,8.019444444444444,1.7334722222222223,0,36,85.8,Gregory Hale,Meat/Fish & Bakery,Food Prep Worker,Entry,16971.02
EMP005774,4.440277777777777,8.152777777777779,1.720222222222222,0,36,85.78,Tamara Peterson,Meat/Fish & Bakery,Food Prep Worker,Entry,29193.88
EMP005237,4.399444444444445,8.352777777777778,1.6996111111111112,0,36,85.75,Spencer Kelly,Fresh Produce,Produce Clerk,Associate,36300.64
EMP000934,4.423055555555555,8.227777777777778,1.7110833333333333,1,36,85.73,Sean Curtis,Store Operations,Cashier,Entry,27256.9
EMP005148,4.4075,8.269444444444444,1.7035277777777778,0,36,85.62,Cindy Estrada,Fresh Produce,Produce Clerk,Associate,23274.59
EMP005959,4.470833333333333,7.933333333333334,1.7354166666666666,0,36,85.6,Robert Miller,Meat/Fish & Bakery,Butcher,Associate,22342.07
EMP000752,4.445833333333334,8.058333333333334,1.7232222222222222,0,36,85.59,Krista Wilson,Store Operations,Cashier,Entry,31398.32
EMP004334,4.460277777777778,7.961111111111112,1.7301666666666666,0,36,85.52,Dennis Jones,Logistics/Warehousing,Stock Clerk,Entry,28439.57
EMP003404,4.411388888888889,8.213888888888889,1.7058055555555556,0,36,85.52,Michael Barr,Logistics/Warehousing,Stock Clerk,Entry,25266.39
EMP005367,4.433888888888889,8.077777777777778,1.716888888888889,0,36,85.46,Miguel Pena,Fresh Produce,Produce Assistant,Entry,28113.42
EMP005891,4.392777777777777,8.286111111111111,1.6963055555555555,0,36,85.45,Amber Fernandez,Meat/Fish & Bakery,Senior Butcher,Senior_Associate,45780.49
EMP006554,4.399166666666667,8.238888888888889,1.6994444444444445,0,36,85.4,Erika Brown,HR,HR Assistant,Entry,22084.96
EMP005849,4.442222222222222,8.011111111111111,1.7213333333333332,1,36,85.39,Scott Lin,Meat/Fish & Bakery,Deli Manager,Manager,64600.48
EMP005198,4.446666666666667,7.986111111111111,1.7234722222222223,1,36,85.38,Jeffery Collins,Fresh Produce,Senior Produce Clerk,Senior_Associate,21574.15
EMP001770,4.406944444444445,8.149999999999999,1.7034166666666666,0,36,85.26,Bruce Roman,Store Operations,Sales Associate,Associate,32733.72
EMP004960,4.386666666666667,8.25,1.6935277777777777,0,36,85.25,Matthew Giles,Fresh Produce,Produce Clerk,Associate,22195.46
